Tue Jun 02 08:54:38 2020

Number of Points = 2985
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.355209	0.097763	0.000000	0.000050	0.500867

2.356645	0.094025	0.005005	0.000049	0.500857
2.272899	0.124336	0.010010	0.000064	0.500861
2.324907	0.104536	0.015014	0.000055	0.500857
2.426198	0.068198	0.020019	0.000036	0.500855
2.412315	0.070667	0.025024	0.000039	0.500848
2.492206	0.044090	0.030029	0.000024	0.500854
2.411077	-0.021218	0.035034	0.000039	0.500543
2.590896	-0.078931	0.040038	0.000006	0.500563
2.565140	-0.075404	0.045043	0.000011	0.500545
2.446331	-0.102273	0.050048	0.000032	0.500318
2.381422	-0.105291	0.055053	0.000044	0.500233
2.514289	-0.172747	0.060058	0.000019	0.500165
2.463913	-0.228388	0.065062	0.000028	0.499922
2.423035	-0.226392	0.070067	0.000036	0.499881
2.325349	-0.279012	0.075072	0.000053	0.499593
2.452225	-0.348706	0.080077	0.000030	0.499510
2.389940	-0.393164	0.085082	0.000041	0.499290
2.354897	-0.443639	0.090086	0.000047	0.499082
2.401037	-0.504792	0.095091	0.000039	0.498933
2.519540	-0.601562	0.100096	0.000017	0.498750
2.462344	-0.675257	0.105101	0.000028	0.498438
2.361780	-0.711982	0.110106	0.000046	0.498199
2.227788	-0.741303	0.115110	0.000070	0.497944
2.394902	-0.871540	0.120115	0.000039	0.497707
2.397675	-0.963958	0.125120	0.000039	0.497402
2.491899	-1.089096	0.130125	0.000022	0.497095
2.365271	-1.141903	0.135130	0.000044	0.496770
2.483476	-1.278940	0.140134	0.000023	0.496452
2.287018	-1.310560	0.145139	0.000058	0.496115
2.359823	-1.443918	0.150144	0.000045	0.495755
2.313934	-1.531674	0.155149	0.000053	0.495407
2.235681	-1.608477	0.160154	0.000067	0.495057
2.250955	-1.728143	0.165158	0.000064	0.494674
2.349434	-1.883138	0.170163	0.000046	0.494271
2.326124	-1.986398	0.175168	0.000050	0.493897
2.332725	-2.100923	0.180173	0.000049	0.493520
2.186411	-2.195066	0.185178	0.000075	0.493029
2.163003	-2.303053	0.190182	0.000080	0.492638
2.210980	-2.454251	0.195187	0.000071	0.492186
2.305896	-2.624645	0.200192	0.000054	0.491724
2.248307	-2.744835	0.205197	0.000064	0.491249
2.165949	-2.858916	0.210202	0.000079	0.490766
2.020000	-2.952774	0.215206	0.000105	0.490274
2.130599	-3.128348	0.220211	0.000085	0.489812
2.027765	-3.253263	0.225216	0.000103	0.489265
1.908423	-3.338197	0.230221	0.000125	0.488835
1.964176	-3.513854	0.235226	0.000114	0.488305
1.983874	-3.677841	0.240230	0.000111	0.487770
2.006713	-3.847189	0.245235	0.000107	0.487221
2.116124	-4.045388	0.250240	0.000087	0.486677
2.037084	-4.190286	0.255245	0.000101	0.486088
1.964622	-4.339264	0.260250	0.000114	0.485491
1.889205	-4.488887	0.265254	0.000127	0.484888
1.880516	-4.659122	0.270259	0.000129	0.484295
1.829533	-4.806508	0.275264	0.000138	0.483728
1.755364	-4.956849	0.280269	0.000151	0.483122
1.696810	-5.118778	0.285274	0.000162	0.482494
1.490495	-5.226882	0.290278	0.000199	0.481871
-0.548298	-4.666168	0.295283	0.000567	0.481327
-1.034858	-4.617254	0.300288	0.000655	0.480905
-1.609212	-4.519761	0.305293	0.000758	0.480543
-1.922092	-4.506324	0.310298	0.000815	0.480209
-2.123872	-4.528164	0.315302	0.000851	0.479888
-2.297084	-4.557962	0.320307	0.000882	0.479574
-2.726480	-4.497333	0.325312	0.000960	0.479260
-2.866723	-4.513346	0.330317	0.000985	0.479034
-3.073261	-4.513322	0.335322	0.001022	0.478782
-3.019589	-4.613336	0.340326	0.001012	0.478501
-3.556164	-4.500830	0.345331	0.001109	0.478236
-3.799545	-4.505354	0.350336	0.001153	0.477923
-3.948994	-4.512847	0.355341	0.001180	0.477714
-4.117972	-4.518349	0.360346	0.001210	0.477489
-4.429184	-4.463441	0.365350	0.001266	0.477299
-4.580980	-4.494724	0.370355	0.001294	0.477004
-4.770867	-4.481032	0.375360	0.001328	0.476819
-4.854378	-4.489272	0.380365	0.001343	0.476689
-5.295195	-4.429904	0.385370	0.001422	0.476355
-5.166381	-4.502995	0.390374	0.001399	0.476259
-5.549813	-4.432408	0.395379	0.001468	0.476034
-5.598642	-4.482348	0.400384	0.001477	0.475801
-5.595475	-4.509783	0.405389	0.001476	0.475710
-5.891664	-4.493334	0.410394	0.001530	0.475403
-5.982112	-4.495212	0.415398	0.001546	0.475286
-6.305412	-4.429852	0.420403	0.001604	0.475117
-6.476811	-4.432636	0.425408	0.001635	0.474896
-6.476526	-4.462904	0.430413	0.001635	0.474792
-6.457834	-4.540420	0.435418	0.001631	0.474544
-6.622708	-4.508266	0.440422	0.001661	0.474454
-7.086186	-4.424959	0.445427	0.001745	0.474174
-7.042882	-4.453711	0.450432	0.001737	0.474128
-7.391154	-4.394963	0.455437	0.001799	0.473904
-7.099325	-4.523250	0.460442	0.001747	0.473816
-7.511044	-4.454153	0.465446	0.001821	0.473550
-7.504775	-4.483279	0.470451	0.001820	0.473456
-7.802735	-4.437807	0.475456	0.001873	0.473248
-7.937663	-4.420466	0.480461	0.001898	0.473143
-8.206336	-4.384722	0.485466	0.001946	0.472936
-8.186460	-4.418565	0.490470	0.001942	0.472843
-8.474809	-4.376390	0.495475	0.001994	0.472635
-8.304188	-4.455012	0.500480	0.001963	0.472570
-8.807919	-4.356568	0.505485	0.002054	0.472293
-8.664928	-4.406752	0.510490	0.002028	0.472294
-9.073105	-4.351247	0.515494	0.002102	0.471984
-8.684577	-4.482865	0.520499	0.002031	0.472004
-9.173896	-4.401823	0.525504	0.002120	0.471682
-9.083119	-4.430571	0.530509	0.002103	0.471695
-9.393164	-4.409663	0.535514	0.002159	0.471384
-9.172480	-4.498320	0.540518	0.002119	0.471347
-9.737846	-4.385488	0.545523	0.002221	0.471042
-9.571352	-4.447994	0.550528	0.002191	0.471030
-10.130856	-4.337511	0.555533	0.002292	0.470724
-9.810701	-4.444836	0.560538	0.002234	0.470745
-10.062943	-4.442014	0.565542	0.002279	0.470441
-10.280728	-4.368438	0.570547	0.002319	0.470431
-10.444552	-4.386907	0.575552	0.002348	0.470162
-10.333656	-4.435844	0.580557	0.002328	0.470129
-10.724203	-4.374440	0.585562	0.002398	0.469860
-10.849206	-4.346740	0.590566	0.002421	0.469803
-10.967145	-4.358813	0.595571	0.002442	0.469614
-10.953647	-4.396785	0.600576	0.002439	0.469497
-11.040452	-4.411769	0.605581	0.002455	0.469336
-11.194627	-4.399158	0.610586	0.002483	0.469189
-11.416439	-4.357891	0.615590	0.002523	0.469059
-11.394838	-4.400353	0.620595	0.002519	0.468937
-11.706448	-4.332470	0.625600	0.002575	0.468789
-11.878999	-4.324943	0.630605	0.002606	0.468600
-11.705344	-4.411903	0.635610	0.002574	0.468510
-11.941561	-4.389592	0.640614	0.002617	0.468294
-12.065403	-4.376034	0.645619	0.002639	0.468188
-12.533005	-4.271595	0.650624	0.002723	0.467975
-12.419965	-4.315084	0.655629	0.002703	0.467963
-12.408917	-4.402596	0.660634	0.002701	0.467666
-12.559180	-4.351682	0.665638	0.002728	0.467660
-12.795545	-4.359594	0.670643	0.002770	0.467336
-12.817169	-4.352481	0.675648	0.002774	0.467335
-13.000369	-4.367117	0.680653	0.002807	0.467054
-13.095819	-4.343226	0.685658	0.002824	0.467020
-13.373060	-4.319321	0.690662	0.002874	0.466758
-13.312003	-4.352493	0.695667	0.002863	0.466718
-13.301331	-4.422520	0.700672	0.002861	0.466482
-13.469877	-4.381735	0.705677	0.002891	0.466417
-13.767196	-4.366152	0.710682	0.002945	0.466100
-13.762866	-4.374837	0.715686	0.002944	0.466075
-13.981040	-4.378062	0.720691	0.002983	0.465790
-13.874999	-4.426545	0.725696	0.002964	0.465751
-14.358877	-4.337144	0.730701	0.003051	0.465462
-14.549225	-4.275570	0.735706	0.003086	0.465443
-14.610390	-4.318124	0.740710	0.003097	0.465215
-14.615107	-4.333364	0.745715	0.003097	0.465155
-14.641740	-4.386328	0.750720	0.003102	0.464933
-14.878172	-4.331951	0.755725	0.003145	0.464831
-15.004970	-4.346888	0.760730	0.003167	0.464618
-15.202735	-4.306122	0.765734	0.003203	0.464515
-15.178226	-4.361833	0.770739	0.003198	0.464348
-15.476182	-4.297665	0.775744	0.003252	0.464202
-15.341254	-4.378283	0.780749	0.003228	0.464085
-15.649407	-4.306142	0.785754	0.003283	0.463955
-15.566403	-4.388218	0.790758	0.003268	0.463766
-16.176295	-4.214554	0.795763	0.003378	0.463619
-15.943809	-4.330591	0.800768	0.003336	0.463497
-16.232400	-4.284681	0.805773	0.003388	0.463298
-16.030326	-4.383203	0.810778	0.003351	0.463201
-16.410429	-4.309175	0.815782	0.003420	0.462986
-16.342392	-4.362431	0.820787	0.003407	0.462882
-16.609005	-4.322511	0.825792	0.003455	0.462689
-16.578302	-4.376575	0.830797	0.003450	0.462534
-16.867798	-4.321647	0.835802	0.003502	0.462366
-16.884105	-4.364321	0.840806	0.003505	0.462192
-17.075183	-4.335092	0.845811	0.003539	0.462056
-17.025815	-4.402330	0.850816	0.003530	0.461877
-17.303116	-4.343553	0.855821	0.003580	0.461738
-17.456174	-4.345222	0.860826	0.003608	0.461538
-17.583794	-4.329208	0.865830	0.003631	0.461435
-17.772866	-4.325728	0.870835	0.003665	0.461208
-17.976885	-4.280798	0.875840	0.003701	0.461111
-17.878984	-4.368679	0.880845	0.003684	0.460920
-18.250644	-4.269933	0.885850	0.003751	0.460804
-18.172251	-4.346351	0.890854	0.003736	0.460629
-18.268402	-4.354479	0.895859	0.003753	0.460478
-18.364504	-4.365958	0.900864	0.003771	0.460315
-18.762094	-4.265420	0.905869	0.003842	0.460173
-18.701081	-4.334413	0.910874	0.003831	0.460002
-18.829390	-4.329861	0.915878	0.003854	0.459856
-18.762762	-4.407368	0.920883	0.003842	0.459661
-19.006004	-4.350197	0.925888	0.003886	0.459559
-19.184953	-4.355844	0.930893	0.003918	0.459311
-19.313708	-4.328471	0.935898	0.003941	0.459246
-19.235882	-4.410879	0.940902	0.003927	0.459048
-19.636977	-4.284885	0.945907	0.003999	0.458993
-19.825146	-4.299742	0.950912	0.004033	0.458700
-19.624675	-4.382630	0.955917	0.003997	0.458656
-19.808092	-4.401135	0.960922	0.004030	0.458356
-19.985345	-4.354968	0.965926	0.004062	0.458297
-20.173981	-4.360253	0.970931	0.004096	0.458038
-20.130790	-4.401612	0.975936	0.004088	0.457944
-20.275307	-4.406635	0.980941	0.004114	0.457741
-20.608676	-4.345857	0.985946	0.004174	0.457536
-20.907952	-4.272128	0.990950	0.004228	0.457421
-20.882270	-4.319519	0.995955	0.004223	0.457282
-20.874739	-4.382991	1.000960	0.004222	0.457062

-21.277068	-4.316875	1.010957	0.004294	0.456788
-21.324566	-4.357344	1.020954	0.004302	0.456582
-21.524077	-4.315550	1.030950	0.004338	0.456479
-21.565958	-4.339344	1.040947	0.004346	0.456341
-21.909783	-4.272619	1.050944	0.004407	0.456144
-21.703770	-4.345062	1.060941	0.004370	0.456147
-21.916466	-4.270662	1.070938	0.004408	0.456146
-21.741087	-4.331091	1.080934	0.004376	0.456153
-21.937299	-4.263244	1.090931	0.004411	0.456150
