Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.066078	0.038936	0.000000	-0.000025	0.491852

1.064771	0.006439	0.005005	-0.000025	0.491740
1.039794	-0.040325	0.010010	-0.000020	0.491552
1.027266	-0.035097	0.015014	-0.000018	0.491554
1.091540	-0.058314	0.020019	-0.000029	0.491552
0.828691	0.034279	0.025024	0.000018	0.491552
0.910320	-0.001270	0.030029	0.000003	0.491528
1.109078	-0.151917	0.035034	-0.000032	0.491255
0.913303	-0.089746	0.040038	0.000003	0.491232
1.030158	-0.145426	0.045043	-0.000018	0.491182
0.904563	-0.179569	0.050048	0.000005	0.490917
1.106841	-0.248345	0.055053	-0.000032	0.490925
1.184250	-0.370508	0.060058	-0.000046	0.490603
1.112519	-0.368128	0.065062	-0.000033	0.490525
1.107886	-0.439159	0.070067	-0.000032	0.490279
1.092712	-0.488762	0.075072	-0.000029	0.490092
0.988136	-0.503969	0.080077	-0.000010	0.489915
1.069849	-0.603322	0.085082	-0.000025	0.489675
0.928009	-0.632796	0.090086	0.000001	0.489405
0.920774	-0.688450	0.095091	0.000002	0.489207
0.985103	-0.778593	0.100096	-0.000009	0.488977
0.874552	-0.796347	0.105101	0.000011	0.488784
0.963319	-0.921136	0.110106	-0.000005	0.488465
0.869855	-0.973346	0.115110	0.000012	0.488175
0.925957	-1.084299	0.120115	0.000002	0.487864
0.925230	-1.166622	0.125120	0.000002	0.487582
1.001135	-1.291441	0.130125	-0.000012	0.487247
0.809389	-1.320017	0.135130	0.000023	0.486919
0.843395	-1.439896	0.140134	0.000017	0.486550
0.848328	-1.539567	0.145139	0.000016	0.486215
0.782993	-1.627215	0.150144	0.000028	0.485836
0.965820	-1.796242	0.155149	-0.000005	0.485478
0.871572	-1.874432	0.160154	0.000012	0.485096
0.979851	-2.041704	0.165158	-0.000008	0.484652
0.831507	-2.110165	0.170163	0.000019	0.484238
