====== H (10) into Layer 1                      =======
        SRIM-2008.04
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = Nb   Energy = 400  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+03 A   Layer # 1- Density = 6.406E22 atoms/cm3 = 10.20 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =20391.00
 Ion Average Range =   781.3E+00 A   Straggling =   354.2E+00 A
 Ion Lateral Range =   240.9E+00 A   Straggling =   311.6E+00 A
 Ion Radial  Range =   378.1E+00 A   Straggling =   225.7E+00 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =73
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 000.3248  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 002.8624  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         Nb       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
500100.E-04  8.6313E+03  0.0000E+00
100010.E-03  1.4124E+04  0.0000E+00
150010.E-03  2.3344E+04  0.0000E+00
200010.E-03  3.2367E+04  0.0000E+00
250010.E-03  3.9625E+04  0.0000E+00
300010.E-03  4.6982E+04  0.0000E+00
350010.E-03  6.0419E+04  0.0000E+00
400010.E-03  6.8070E+04  0.0000E+00
450010.E-03  8.0625E+04  0.0000E+00
500010.E-03  8.5235E+04  0.0000E+00
550010.E-03  9.4651E+04  0.0000E+00
600010.E-03  9.6024E+04  0.0000E+00
650010.E-03  1.0005E+05  0.0000E+00
700010.E-03  1.0603E+05  0.0000E+00
750010.E-03  1.0848E+05  0.0000E+00
800010.E-03  1.0897E+05  0.0000E+00
850010.E-03  1.0367E+05  0.0000E+00
900010.E-03  1.0407E+05  0.0000E+00
950010.E-03  9.6514E+04  0.0000E+00
100001.E-02  8.7883E+04  0.0000E+00
105001.E-02  7.9055E+04  0.0000E+00
110001.E-02  7.6309E+04  0.0000E+00
115001.E-02  6.4441E+04  0.0000E+00
120001.E-02  5.5221E+04  0.0000E+00
125001.E-02  5.1788E+04  0.0000E+00
130001.E-02  4.3353E+04  0.0000E+00
135001.E-02  3.4329E+04  0.0000E+00
140001.E-02  2.9817E+04  0.0000E+00
145001.E-02  2.2363E+04  0.0000E+00
