====== H (10) into Layer 1                      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Nb   Energy = 400 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+03 A ;
  Layer # 1- Density = 6.406E22 atoms/cm3 = 10.20 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =20145.00
 Total Target Vacancies     = 1651 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500100.E-04  4854.56E-05  1339.01E-03  
100010.E-03  5627.72E-05  1568.13E-03  
150010.E-03  6092.11E-05  1589.15E-03  
200010.E-03  6570.91E-05  1680.71E-03  
250010.E-03  6982.82E-05  1741.69E-03  
300010.E-03  7244.48E-05  1702.55E-03  
350010.E-03  7610.39E-05  1762.40E-03  
400010.E-03  7870.46E-05  1734.69E-03  
450010.E-03  8009.19E-05  1752.12E-03  
500010.E-03  8125.96E-05  1708.79E-03  
550010.E-03  8064.24E-05  1650.30E-03  
600010.E-03  7824.65E-05  1564.67E-03  
650010.E-03  7570.54E-05  1480.19E-03  
700010.E-03  7286.22E-05  1378.06E-03  
750010.E-03  7031.22E-05  1300.20E-03  
800010.E-03  6520.12E-05  1130.46E-03  
850010.E-03  5896.73E-05  1033.52E-03  
900010.E-03  5460.27E-05  9250.51E-04  
950010.E-03  5021.92E-05  7986.02E-04  
100001.E-02  4369.20E-05  6852.11E-04  
105001.E-02  3751.08E-05  5830.32E-04  
110001.E-02  3278.14E-05  4879.40E-04  
115001.E-02  2798.75E-05  4028.76E-04  
120001.E-02  2302.33E-05  3414.44E-04  
125001.E-02  1973.00E-05  2768.38E-04  
130001.E-02  1575.30E-05  2137.78E-04  
135001.E-02  1263.43E-05  1674.61E-04  
140001.E-02  9590.69E-06  1209.96E-04  
145001.E-02  7209.44E-06  9059.72E-05  
150001.E-02  5791.63E-06  6879.35E-05  
155001.E-02  4194.48E-06  4856.72E-05  
160001.E-02  3472.84E-06  3779.21E-05  
165001.E-02  2689.55E-06  2936.31E-05  
170001.E-02  1792.04E-06  2075.92E-05  
175001.E-02  1455.47E-06  1555.69E-05  
180001.E-02  1282.72E-06  1266.60E-05  
185001.E-02  8339.63E-07  8634.84E-06  
190001.E-02  5659.01E-07  6353.80E-06  
195001.E-02  3216.68E-07  3045.54E-06  
200001.E-02  2769.92E-07  2945.88E-06  
205001.E-02  1638.12E-07  1496.26E-06  
210001.E-02  7247.45E-08  5474.91E-07  
215001.E-02  1191.36E-08  3232.72E-08  
220001.E-02  8935.22E-09  2573.98E-07  
225001.E-02  1191.36E-08  4332.26E-07  
230001.E-02  5956.81E-09  1332.88E-08  
235001.E-02  8935.22E-09  6601.24E-08  
240001.E-02  0000.00E+00  0000.00E+00  
245001.E-02  0000.00E+00  0000.00E+00  
250001.E-02  0000.00E+00  0000.00E+00  
255001.E-02  0000.00E+00  0000.00E+00  
260001.E-02  0000.00E+00  0000.00E+00  
265001.E-02  0000.00E+00  0000.00E+00  
270001.E-02  0000.00E+00  0000.00E+00  
275001.E-02  0000.00E+00  0000.00E+00  
280001.E-02  0000.00E+00  0000.00E+00  
285001.E-02  0000.00E+00  0000.00E+00  
290001.E-02  0000.00E+00  0000.00E+00  
295001.E-02  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  
305001.E-02  0000.00E+00  0000.00E+00  
310001.E-02  0000.00E+00  0000.00E+00  
315001.E-02  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  
325001.E-02  0000.00E+00  0000.00E+00  
330001.E-02  0000.00E+00  0000.00E+00  
335001.E-02  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  
345001.E-02  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  
355001.E-02  0000.00E+00  0000.00E+00  
360001.E-02  0000.00E+00  0000.00E+00  
365001.E-02  0000.00E+00  0000.00E+00  
370001.E-02  0000.00E+00  0000.00E+00  
375001.E-02  0000.00E+00  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  
385001.E-02  0000.00E+00  0000.00E+00  
390001.E-02  0000.00E+00  0000.00E+00  
395001.E-02  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  
405001.E-02  0000.00E+00  0000.00E+00  
410001.E-02  0000.00E+00  0000.00E+00  
415001.E-02  0000.00E+00  0000.00E+00  
420001.E-02  0000.00E+00  0000.00E+00  
425001.E-02  0000.00E+00  0000.00E+00  
430001.E-02  0000.00E+00  0000.00E+00  
435001.E-02  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  
445001.E-02  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  
455001.E-02  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  
465001.E-02  0000.00E+00  0000.00E+00  
470001.E-02  0000.00E+00  0000.00E+00  
475001.E-02  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  
485001.E-02  0000.00E+00  0000.00E+00  
490001.E-02  0000.00E+00  0000.00E+00  
495001.E-02  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
