     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -64.39217     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.36917     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.34517     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.32217     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.29917     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.27617     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.25317     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.23017     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.20617     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.18317     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.16017     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.13717     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.11417     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.09017     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.06717     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.04417     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.02117     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.99817     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.97517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.95117     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.92817     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.90517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.88217     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.85917     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.83517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.81217     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.78917     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.76617     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.74317     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.72017     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.69617     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.67317     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.65017     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.62717     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.60417     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.58017     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.55717     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.53417     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.51117     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.48817     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.46517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.44117     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.41817     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.39517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.37217     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.34917     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.32517     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.30217     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.27917     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.25617     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.23317     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.21017     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.18617     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.16317     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.14017     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.11717     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.09417     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.07017     0.00000     0.00000     0.00000     0.00000     0.00000
