     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -64.38886     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.15686     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.92386     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.69086     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.45886     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.22586     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.99386     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.76086     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.52786     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.29586     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.06286     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.83086     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.59786     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.36486     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.13286   123.11818     0.01157     0.00514     0.00016     0.00006
   -60.89986   654.55060     0.03144     0.08203     0.00027     0.00044
   -60.66786   554.67400     0.04071     0.06106     0.00021     0.00032
   -60.43486     9.11724     0.00079     0.00059     0.00000     0.00000
   -60.20186     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.96986     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.73686     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.50486     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.27186     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.03886     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.80686     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.57386     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.34186     0.00000     0.00000     0.00000     0.00000     0.00000
   -58.10886     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.87586     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.64386     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.41086     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.17886     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.94586     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.71286     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.48086     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.24786     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.01586     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.78286     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.54986     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.31786     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.08486     0.00000     0.00000     0.00000     0.00000     0.00000
