     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p        Nb_s        Nb_p        Nb_d
   -64.38583     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.15383     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.92183     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.68883     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.45683     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.22383     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.99183     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.75983     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.52683     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.29483     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.06183     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.82983     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.59783     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.36483     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.13283   122.68952     0.01097     0.00517     0.00019     0.00014     0.00159     0.00017     0.00002
   -60.89983   324.90670     0.01864     0.03891     0.00035     0.00043     0.00176     0.00039     0.00017
   -60.66783   415.04980     0.02742     0.03432     0.00001     0.00003     0.00367     0.00056     0.00021
   -60.43583     0.53683     0.00004     0.00004     0.00000     0.00000     0.00001     0.00000     0.00000
   -60.20283     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.97083     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.73783     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
