     #Energy        Mo_s        Mo_p        Mo_d        Nb_s        Nb_p        Nb_d         O_s         O_p
   -64.46758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.44458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.42158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.39758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.37458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.35158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.32858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.30558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.28158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.25858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.23558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.21258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.18958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.16558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.14258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.11958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.09658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.07358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.04958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.02658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.00358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.98058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.95758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.93358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.91058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.88758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.86458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.84158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.81758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.79458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.77158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.74858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.72558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.70158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.67858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.65558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.63258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.60958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.58558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.56258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.53958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.51658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.49358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.46958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.44658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.42358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.40058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.37758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.35358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.33058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.30758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.28458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.26158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.23758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.21458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.19158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.16858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.14558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.12158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.09858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.07558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.05258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.02958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.00558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.98258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.95958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.93658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.91358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.88958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.86658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.84358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.82058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.79758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.77358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.75058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.72758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.70458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.68158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.65758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.63458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.61158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.58858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.56558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.54158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.51858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.49558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.47258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.44958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.42558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.40258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.37958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.35658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.33358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.31058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.28658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.26358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.24058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.21758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.19458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.17058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.14758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.12458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.10158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.07858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.05458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.03158     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.00858     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.98558     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.96258     0.00007     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.93858     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.91558     0.00037     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.89258     0.00080     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.86958     0.00169     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.84658     0.00346     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.82258     0.00695     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.79958     0.01360     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.77658     0.02598     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.75358     0.04849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.73058     0.08836     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.70658     0.15731     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.68358     0.27364     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.66058     0.46526     0.00003     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.63758     0.77348     0.00006     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.61458     1.25752     0.00009     0.00006     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.59058     2.00034     0.00015     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.56758     3.11404     0.00023     0.00016     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.54458     4.74580     0.00035     0.00026     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.52158     7.08435     0.00052     0.00041     0.00001     0.00000     0.00000     0.00000     0.00000
   -61.49858    10.35950     0.00077     0.00063     0.00001     0.00000     0.00000     0.00000     0.00000
   -61.47458    14.84908     0.00110     0.00095     0.00002     0.00000     0.00000     0.00000     0.00000
   -61.45158    20.86658     0.00154     0.00141     0.00002     0.00000     0.00000     0.00000     0.00000
   -61.42858    28.75921     0.00212     0.00205     0.00003     0.00000     0.00000     0.00000     0.00000
   -61.40558    38.88861     0.00285     0.00291     0.00004     0.00001     0.00000     0.00000     0.00000
   -61.38258    51.60570     0.00376     0.00405     0.00006     0.00001     0.00000     0.00000     0.00000
   -61.35858    67.22634     0.00485     0.00551     0.00007     0.00001     0.00000     0.00001     0.00001
   -61.33558    85.99213     0.00613     0.00735     0.00009     0.00001     0.00000     0.00001     0.00001
   -61.31258   108.03234     0.00760     0.00960     0.00012     0.00002     0.00000     0.00001     0.00001
   -61.28958   133.32638     0.00924     0.01228     0.00015     0.00002     0.00000     0.00001     0.00002
   -61.26658   161.66757     0.01101     0.01539     0.00018     0.00003     0.00001     0.00002     0.00002
   -61.24258   192.63382     0.01287     0.01888     0.00022     0.00003     0.00001     0.00002     0.00003
   -61.21958   225.60280     0.01477     0.02269     0.00026     0.00004     0.00001     0.00003     0.00003
   -61.19658   259.71480     0.01664     0.02670     0.00030     0.00005     0.00001     0.00004     0.00004
   -61.17358   293.94960     0.01843     0.03080     0.00034     0.00006     0.00002     0.00005     0.00005
   -61.15058   327.13760     0.02005     0.03480     0.00039     0.00007     0.00002     0.00005     0.00006
   -61.12658   358.07430     0.02145     0.03855     0.00043     0.00008     0.00003     0.00006     0.00007
   -61.10358   385.53970     0.02257     0.04187     0.00048     0.00009     0.00003     0.00007     0.00008
   -61.08058   408.44240     0.02338     0.04460     0.00052     0.00010     0.00004     0.00008     0.00009
   -61.05758   425.84140     0.02386     0.04661     0.00056     0.00011     0.00004     0.00009     0.00010
   -61.03458   437.06040     0.02399     0.04782     0.00059     0.00012     0.00005     0.00009     0.00010
   -61.01058   441.71110     0.02377     0.04819     0.00062     0.00013     0.00005     0.00009     0.00011
   -60.98758   439.70140     0.02324     0.04772     0.00065     0.00014     0.00006     0.00010     0.00011
   -60.96458   431.23120     0.02242     0.04646     0.00067     0.00015     0.00006     0.00010     0.00011
   -60.94158   416.78800     0.02136     0.04450     0.00069     0.00015     0.00007     0.00009     0.00010
   -60.91858   397.08500     0.02009     0.04195     0.00071     0.00016     0.00007     0.00009     0.00010
   -60.89458   373.01000     0.01866     0.03896     0.00072     0.00016     0.00007     0.00008     0.00009
   -60.87158   345.54100     0.01713     0.03566     0.00073     0.00016     0.00007     0.00007     0.00008
   -60.84858   315.73400     0.01554     0.03218     0.00073     0.00017     0.00007     0.00007     0.00007
   -60.82558   284.59800     0.01394     0.02866     0.00073     0.00016     0.00007     0.00006     0.00006
   -60.80258   253.10880     0.01235     0.02519     0.00073     0.00016     0.00007     0.00005     0.00006
   -60.77858   222.11310     0.01082     0.02187     0.00072     0.00016     0.00007     0.00004     0.00005
   -60.75558   192.36220     0.00937     0.01876     0.00070     0.00015     0.00007     0.00003     0.00004
   -60.73258   164.42140     0.00802     0.01591     0.00068     0.00015     0.00006     0.00003     0.00003
   -60.70958   138.71770     0.00679     0.01333     0.00065     0.00014     0.00006     0.00002     0.00002
   -60.68658   115.52710     0.00568     0.01105     0.00061     0.00013     0.00006     0.00002     0.00002
   -60.66258    94.98190     0.00470     0.00906     0.00056     0.00011     0.00005     0.00001     0.00001
   -60.63958    77.08159     0.00384     0.00734     0.00051     0.00010     0.00004     0.00001     0.00001
   -60.61658    61.75030     0.00310     0.00588     0.00046     0.00009     0.00004     0.00001     0.00001
   -60.59358    48.82202     0.00247     0.00466     0.00040     0.00008     0.00003     0.00000     0.00000
   -60.57058    38.09061     0.00194     0.00365     0.00034     0.00007     0.00003     0.00000     0.00000
   -60.54658    29.31487     0.00151     0.00282     0.00029     0.00005     0.00002     0.00000     0.00000
   -60.52358    22.24556     0.00115     0.00215     0.00024     0.00004     0.00002     0.00000     0.00000
   -60.50058    16.63635     0.00087     0.00162     0.00019     0.00004     0.00002     0.00000     0.00000
   -60.47758    12.25314     0.00065     0.00120     0.00015     0.00003     0.00001     0.00000     0.00000
   -60.45458     8.88238     0.00047     0.00088     0.00011     0.00002     0.00001     0.00000     0.00000
   -60.43058     6.33247     0.00034     0.00063     0.00009     0.00002     0.00001     0.00000     0.00000
   -60.40758     4.43663     0.00024     0.00044     0.00006     0.00001     0.00000     0.00000     0.00000
   -60.38458     3.05206     0.00017     0.00031     0.00005     0.00001     0.00000     0.00000     0.00000
   -60.36158     2.06008     0.00011     0.00021     0.00003     0.00001     0.00000     0.00000     0.00000
   -60.33858     1.36341     0.00008     0.00014     0.00002     0.00000     0.00000     0.00000     0.00000
   -60.31458     0.88398     0.00005     0.00009     0.00001     0.00000     0.00000     0.00000     0.00000
   -60.29158     0.56108     0.00003     0.00006     0.00001     0.00000     0.00000     0.00000     0.00000
   -60.26858     0.34852     0.00002     0.00004     0.00001     0.00000     0.00000     0.00000     0.00000
   -60.24558     0.21172     0.00001     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.22258     0.12569     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.19858     0.07291     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.17558     0.04129     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.15258     0.02283     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.12958     0.01232     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.10658     0.00648     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.08258     0.00333     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.05958     0.00167     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.03658     0.00081     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -60.01358     0.00039     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.99058     0.00018     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.96658     0.00008     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.94358     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.92058     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.89758     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.87458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.85058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.82758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.80458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.78158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.75858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.73458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.71158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.68858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.66558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.64258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.61958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.59558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.57258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.54958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.52658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.50358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.47958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.45658     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.43358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.41058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.38758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.36358     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.34058     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.31758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.29458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.27158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.24758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.22458     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.20158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.17858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.15558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.13158     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.10858     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.08558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.06258     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.03958     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.01558     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
