     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -64.47370     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.45070     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.42770     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.40470     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.38170     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.35770     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.33470     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.31170     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.28870     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.26570     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.24170     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.21870     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.19570     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.17270     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.14970     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.12570     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.10270     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.07970     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.05670     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.03370     0.00000     0.00000     0.00000     0.00000     0.00000
   -64.01070     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.98670     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.96370     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.94070     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.91770     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.89470     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.87070     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.84770     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.82470     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.80170     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.77870     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.75570     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.73170     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.70870     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.68570     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.66270     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.63970     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.61570     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.59270     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.56970     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.54670     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.52370     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.49970     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.47670     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.45370     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.43070     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.40770     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.38470     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.36070     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.33770     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.31470     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.29170     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.26870     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.24470     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.22170     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.19870     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.17570     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.15270     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.12870     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.10570     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.08270     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.05970     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.03670     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.01370     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.98970     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.96670     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.94370     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.92070     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.89770     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.87370     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.85070     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.82770     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.80470     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.78170     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.75870     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.73470     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.71170     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.68870     0.00000     0.00000     0.00000     0.00000     0.00000
